source,category,definition,title,description,required_mods,nodes_using_definition,is_root_node,cost,required_points,required_spent_points,required_skills,required_exclusions,reward_types,attributes,spell_ids,reward_summary
base active,skill_tree_rpgs:class_skills,arcane_boost,Arcane Attunement,,wizards,3,False,1,0,0,1,1,puffish_skills:attribute,spell_power:arcane multiply_base 0.01,,attr spell_power:arcane multiply_base 0.01
base active,skill_tree_rpgs:class_skills,arcane_root,Path of Arcane,,wizards,1,True,1,0,0,1,1,puffish_skills:attribute,spell_power:arcane multiply_base 0.01,,attr spell_power:arcane multiply_base 0.01
base active,skill_tree_rpgs:class_skills,arcane_tier_1_passive_1,Fissile Magic,"Arcane spell impacts have {trigger_chance} chance, to cause a small explosion, dealing {damage} damage.",wizards,1,False,1,0,0,1,1,skill_tree_rpgs:spell,,skill_tree_rpgs:arcane_tier_1_passive_1,spell skill_tree_rpgs:arcane_tier_1_passive_1
base active,skill_tree_rpgs:class_skills,arcane_tier_1_passive_2,Evocation Radiance,"Arcane spell impacts have {trigger_chance} chance, to heal the you for {heal}.",wizards,1,False,1,0,0,1,1,skill_tree_rpgs:spell,,skill_tree_rpgs:arcane_tier_1_passive_2,spell skill_tree_rpgs:arcane_tier_1_passive_2
base active,skill_tree_rpgs:class_skills,arcane_tier_2_passive_1,Arcane Trap,"Upon rolling, you leave behind an Arcane Trap, lasting {cloud_duration} sec, dealing {damage} damage to entering enemies.",wizards,1,False,1,0,0,1,1,skill_tree_rpgs:spell,,skill_tree_rpgs:arcane_tier_2_passive_1,spell skill_tree_rpgs:arcane_tier_2_passive_1
base active,skill_tree_rpgs:class_skills,arcane_tier_2_passive_2,Phase Shift,"Upon rolling, you become invulnerable for {effect_duration} sec.",wizards,1,False,1,0,0,1,1,skill_tree_rpgs:spell,,skill_tree_rpgs:arcane_tier_2_passive_2,spell skill_tree_rpgs:arcane_tier_2_passive_2
base active,skill_tree_rpgs:class_skills,arcane_tier_2_spell_1_modifier_1,Conjured Missile,Arcane Missile shoots {extra_launch} additional missile per batch.,wizards,1,False,1,0,0,1,1,skill_tree_rpgs:spell,,skill_tree_rpgs:arcane_tier_2_spell_1_modifier_1,spell skill_tree_rpgs:arcane_tier_2_spell_1_modifier_1
base active,skill_tree_rpgs:class_skills,arcane_tier_2_spell_1_modifier_2,Crippling Barrage,"Arcane Missiles apply slowness, reducing movement speed by {bonus}, stacking up to {effect_amplifier_cap} times, lasting {effect_duration} sec.",wizards,1,False,1,0,0,1,1,skill_tree_rpgs:spell,,skill_tree_rpgs:arcane_tier_2_spell_1_modifier_2,spell skill_tree_rpgs:arcane_tier_2_spell_1_modifier_2
base active,skill_tree_rpgs:class_skills,arcane_tier_3_passive_1,Spell Riposte,"Upon taking damage, an Arcane Bolt is launched at the attacker, dealing {damage} damage.",wizards,1,False,1,0,0,1,1,skill_tree_rpgs:spell,,skill_tree_rpgs:arcane_tier_3_passive_1,spell skill_tree_rpgs:arcane_tier_3_passive_1
base active,skill_tree_rpgs:class_skills,arcane_tier_3_passive_2,Arcane Ward,"Arcane spells have {trigger_chance} chance, to grant you Arcane Ward, absorbing high amount of damage, lasting {effect_duration} sec.",wizards,1,False,1,0,0,1,1,skill_tree_rpgs:spell,,skill_tree_rpgs:arcane_tier_3_passive_2,spell skill_tree_rpgs:arcane_tier_3_passive_2
base active,skill_tree_rpgs:class_skills,arcane_tier_3_spell_1_modifier_1,Beam Exposure,"Arcane Beam applies Arcane Exposure increasing Arcane damage taken by {bonus}, stacking up to {effect_amplifier_cap} times, lasting {effect_duration} sec.",wizards,1,False,1,0,0,1,1,skill_tree_rpgs:spell,,skill_tree_rpgs:arcane_tier_3_spell_1_modifier_1,spell skill_tree_rpgs:arcane_tier_3_spell_1_modifier_1
base active,skill_tree_rpgs:class_skills,arcane_tier_3_spell_1_modifier_2,Beam Propulsion,"Arcane Beam hits increase your speed and jump strength by {bonus} for {effect_duration} sec, stacking up to {effect_amplifier_cap} times.",wizards,1,False,1,0,0,1,1,skill_tree_rpgs:spell,,skill_tree_rpgs:arcane_tier_3_spell_1_modifier_2,spell skill_tree_rpgs:arcane_tier_3_spell_1_modifier_2
