"Item","Name","Namespace","Category","Current","Suggested","KnownCost","CostSource","Steps","IngredientCount","RecipeCount","Processes","Candidate","Flags"
"@{id=minecraft:brown_dye}","brown_dye}","@{id=minecraft","manual","0",,,"","0","1","1","create","False",""
"@{id=minecraft:lime_dye}","lime_dye}","@{id=minecraft","manual","0",,"10","recipe","1","1","2","create","False",""
"@{id=minecraft:pink_dye}","pink_dye}","@{id=minecraft","manual","0",,,"","0","1","1","create","False",""
"@{id=minecraft:purple_dye}","purple_dye}","@{id=minecraft","manual","0",,,"","0","1","2","create","False",""
"@{id=ubesdelight:garlic_chop}","garlic_chop}","@{id=ubesdelight","manual","0",,,"","0","1","1","create","False",""
"@{id=ubesdelight:garlic}","garlic}","@{id=ubesdelight","manual","0",,,"","0","1","1","create","False",""
"@{id=ubesdelight:ginger_chop}","ginger_chop}","@{id=ubesdelight","manual","0",,,"","0","1","1","create","False",""
"@{id=ubesdelight:ginger}","ginger}","@{id=ubesdelight","manual","0",,,"","0","1","1","create","False",""
"@{id=ubesdelight:lemongrass}","lemongrass}","@{id=ubesdelight","crop","0","10","10","recipe","1","1","1","create","True","missing candidate"
"@{id=ubesdelight:ube}","ube}","@{id=ubesdelight","manual","0",,,"","0","1","1","create","False",""
"abnormals_delight:mulberry_cookie","mulberry_cookie","abnormals_delight","meal","0","120","90","heuristic","0","0","0","","True","missing candidate"
"abundance:budding_jacaranda_hedge","budding_jacaranda_hedge","abundance","manual","0",,,"","0","0","0","","False",""
"abundance:budding_redbud_hedge","budding_redbud_hedge","abundance","manual","0",,,"","0","0","0","","False",""
"abundance:flowering_jacaranda_hedge","flowering_jacaranda_hedge","abundance","manual","0",,,"","0","0","0","","False",""
"abundance:flowering_redbud_hedge","flowering_redbud_hedge","abundance","manual","0",,,"","0","0","0","","False",""
"abundance:jacaranda_hedge","jacaranda_hedge","abundance","manual","0",,,"","0","0","0","","False",""
"abundance:redbud_hedge","redbud_hedge","abundance","manual","0",,,"","0","0","0","","False",""
"abundance:saguaro_flower","saguaro_flower","abundance","manual","0",,,"","0","0","0","","False",""
"abyssal_decor:deepbronze_chain","deepbronze_chain","abyssal_decor","manual","0",,,"","0","0","0","","False",""
"abyssal_decor:seabrass_chain","seabrass_chain","abyssal_decor","manual","0",,,"","0","0","0","","False",""
"accents:bandolier","Bandolier","accents","manual","0",,,"","0","1","1","recipe","False",""
"accents:cakeman_plushie","Cakeman Plushie","accents","meal","0","120","90","heuristic","0","1","1","recipe","True","missing candidate"
"accents:captain_hat","Captain Hat","accents","manual","0",,,"","0","1","1","recipe","False",""
"accents:christmas_hat","Christmas Hat","accents","manual","0",,,"","0","1","1","recipe","False",""
"accents:cowboy_hat","Cowboy Hat","accents","manual","0",,,"","0","1","1","recipe","False",""
"accents:crown","Crown","accents","manual","0",,,"","0","1","1","recipe","False",""
"accents:dragon_skull","Dragon Skull","accents","manual","0",,,"","0","1","1","recipe","False",""
"accents:hermes_boots","Hermes Boots","accents","blocked","0",,,"","0","1","1","recipe","False",""
